"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1404499409420","38.8561","-77.0512","true","false","1316059200000","","false","true",20,22,"1404494907116",2014-07-04 13:28:27,42,0.476190476190476,0.523809523809524
"2","2","18th & Eads St.","31001","1404499324821","38.85725","-77.05332","true","false","1284989400000","","false","true",16,30,"1404498358660",2014-07-04 14:25:58,46,0.347826086956522,0.652173913043478
"3","3","20th & Crystal Dr","31002","1404499425748","38.8564","-77.0492","true","false","1284464580000","","false","true",4,27,"1404499064195",2014-07-04 14:37:44,31,0.129032258064516,0.870967741935484
"4","4","15th & Crystal Dr","31003","1404499405241","38.86017","-77.049593","true","false","1284464880000","","false","true",2,3,"1404498196749",2014-07-04 14:23:16,5,0.4,0.6
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1404499228220","38.857866","-77.05949","true","false","1284464880000","","false","true",19,27,"1404493745148",2014-07-04 13:09:05,46,0.41304347826087,0.58695652173913
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1404499400101","38.862303","-77.059936","true","false","1284464940000","","false","true",5,30,"1404498915903",2014-07-04 14:35:15,35,0.142857142857143,0.857142857142857
"7","7","S Joyce & Army Navy Dr","31006","1404499284144","38.8637","-77.0633","true","false","1284464940000","","false","true",12,32,"1404497351138",2014-07-04 14:09:11,44,0.272727272727273,0.727272727272727
"8","8","Crystal City Metro / 18th & Bell St","31007","1404499351563","38.8573","-77.0511","true","false","1284465000000","","false","true",5,30,"1404499108947",2014-07-04 14:38:28,35,0.142857142857143,0.857142857142857
"9","9","12th & Army Navy Dr","31008","1404499273447","38.8629","-77.0528","true","false","1284465000000","","false","true",2,3,"1404495728289",2014-07-04 13:42:08,5,0.4,0.6
"10","10","27th & Crystal Dr","31009","1404499424990","38.848441","-77.051516","true","false","1284465060000","","false","true",19,5,"1404498250792",2014-07-04 14:24:10,24,0.791666666666667,0.208333333333333
"11","11","S Glebe & Potomac Ave","31010","1404499436310","38.8426","-77.0502","true","false","1284465120000","","false","true",1,4,"1404499434730",2014-07-04 14:43:54,5,0.2,0.8
"12","12","23rd & Crystal Dr","31011","1404499416870","38.8533","-77.0498","true","false","1284465120000","","false","true",16,6,"1404498933364",2014-07-04 14:35:33,22,0.727272727272727,0.272727272727273
"13","13","26th & S Clark St","31012","1404499362275","38.850688","-77.05152","true","false","1284465300000","","false","true",17,29,"1404498637739",2014-07-04 14:30:37,46,0.369565217391304,0.630434782608696
"14","14","19th St & Pennsylvania Ave NW","31100","1404499251701","38.9003","-77.0429","true","false","1284465360000","","false","true",1,8,"1404494359030",2014-07-04 13:19:19,9,0.111111111111111,0.888888888888889
"15","15","14th & V St NW","31101","1404499344873","38.9176","-77.0321","true","false","1284465420000","","false","true",4,9,"1404499062808",2014-07-04 14:37:42,13,0.307692307692308,0.692307692307692
"16","16","11th & Kenyon St NW","31102","1404499370991","38.929464","-77.027822","true","false","1286539080000","","false","true",4,9,"1404499370459",2014-07-04 14:42:50,13,0.307692307692308,0.692307692307692
"17","17","16th & Harvard St NW","31103","1404499377347","38.926088","-77.036536","true","false","1284465480000","","false","true",3,17,"1404498893982",2014-07-04 14:34:53,20,0.15,0.85
"18","18","Adams Mill & Columbia Rd NW","31104","1404499389175","38.922925","-77.042581","true","false","1284465540000","","false","true",1,8,"1404499388282",2014-07-04 14:43:08,9,0.111111111111111,0.888888888888889
"19","19","14th & Harvard St NW","31105","1404499327281","38.9268","-77.0322","true","false","1284465540000","","false","true",7,28,"1404499325865",2014-07-04 14:42:05,35,0.2,0.8
"20","20","Calvert & Biltmore St NW","31106","1404499270080","38.923203","-77.047637","true","false","1284465600000","","false","true",1,17,"1404496038274",2014-07-04 13:47:18,18,0.0555555555555556,0.944444444444444
"21","21","Lamont & Mt Pleasant NW","31107","1404499418475","38.9319","-77.0388","true","false","1284465600000","","false","true",18,6,"1404498999619",2014-07-04 14:36:39,24,0.75,0.25
"22","22","4th & M St SW","31108","1404499360559","38.8767","-77.0178","true","false","1284465660000","","false","true",16,12,"1404499207547",2014-07-04 14:40:07,28,0.571428571428571,0.428571428571429
"23","23","15th & P St NW","31201","1404499431184","38.90985","-77.034438","true","false","1284465660000","","false","true",12,8,"1404499430006",2014-07-04 14:43:50,20,0.6,0.4
"24","24","14th & R St NW","31202","1404499211279","38.912682","-77.031681","true","false","1284465720000","","false","true",4,13,"1404499210416",2014-07-04 14:40:10,17,0.235294117647059,0.764705882352941
"25","25","14th & Rhode Island Ave NW","31203","1404499436298","38.9086","-77.0323","true","false","1284465780000","","false","true",17,11,"1404499188669",2014-07-04 14:39:48,28,0.607142857142857,0.392857142857143
"26","26","20th & E St NW","31204","1404499384537","38.8963","-77.045","true","false","1284465840000","","false","true",2,7,"1404499009464",2014-07-04 14:36:49,9,0.222222222222222,0.777777777777778
"27","27","21st & I St NW","31205","1404499235776","38.9008","-77.047","true","false","1283861040000","","false","true",12,24,"1404499234601",2014-07-04 14:40:34,36,0.333333333333333,0.666666666666667
"28","28","Georgia & New Hampshire Ave NW","31400","1404499380750","38.936043","-77.024649","true","false","1284465900000","","false","true",18,32,"1404499380051",2014-07-04 14:43:00,50,0.36,0.64
"29","29","14th St & Spring Rd NW","31401","1404499315538","38.9375","-77.0328","true","false","1284465960000","","false","true",17,29,"1404498349476",2014-07-04 14:25:49,46,0.369565217391304,0.630434782608696
"30","30","John McCormack Dr & Michigan Ave NE","31502","1404499396477","38.9346","-76.9955","true","false","1284465960000","","false","true",2,3,"1404490091093",2014-07-04 12:08:11,5,0.4,0.6
"31","31","5th & K St NW","31600","1404499258415","38.90304","-77.019027","true","false","1284466020000","","false","true",5,30,"1404499257758",2014-07-04 14:40:57,35,0.142857142857143,0.857142857142857
