,id,name,terminalName,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks,latestUpdateTime,date,total,percentBikes,percentDocks
1,1,20th & Bell St,31000,1.4022E+12,38.8561,-77.0512,TRUE,FALSE,1.31606E+12,,FALSE,TRUE,7,4,1.40219E+12,6/7/2014 19:54,11,0.636363636,0.363636364
2,2,18th & Eads St.,31001,1.4022E+12,38.85725,-77.05332,TRUE,FALSE,1.28499E+12,,FALSE,TRUE,4,6,1.40219E+12,6/7/2014 20:24,10,0.4,0.6
3,3,20th & Crystal Dr,31002,1.4022E+12,38.8564,-77.0492,TRUE,FALSE,1.28446E+12,,FALSE,TRUE,12,3,1.40219E+12,6/7/2014 20:58,15,0.8,0.2
4,4,15th & Crystal Dr,31003,1.4022E+12,38.86017,-77.049593,TRUE,FALSE,1.28446E+12,,FALSE,TRUE,7,4,1.40219E+12,6/7/2014 19:55,11,0.636363636,0.363636364
5,5,Aurora Hills Community Ctr/18th & Hayes St,31004,1.4022E+12,38.857866,-77.05949,TRUE,FALSE,1.28446E+12,,FALSE,TRUE,7,4,1.40219E+12,6/7/2014 22:27,11,0.636363636,0.363636364
6,6,12th & Hayes St /  Pentagon City Metro,31005,1.4022E+12,38.862303,-77.059936,TRUE,FALSE,1.28446E+12,,FALSE,TRUE,6,13,1.4022E+12,6/7/2014 23:01,19,0.315789474,0.684210526
7,7,S Joyce & Army Navy Dr,31006,1.4022E+12,38.8637,-77.0633,TRUE,FALSE,1.28446E+12,,FALSE,TRUE,8,3,1.4022E+12,6/7/2014 23:07,11,0.727272727,0.272727273
8,8,Crystal City Metro / 18th & Bell St,31007,1.4022E+12,38.8573,-77.0511,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,5,11,1.4022E+12,6/7/2014 22:46,16,0.3125,0.6875
9,9,12th & Army Navy Dr,31008,1.4022E+12,38.8629,-77.0528,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,6,5,1.40219E+12,6/7/2014 22:13,11,0.545454545,0.454545455
10,10,27th & Crystal Dr,31009,1.4022E+12,38.848441,-77.051516,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,11,7,1.4022E+12,6/7/2014 22:51,18,0.611111111,0.388888889
11,11,S Glebe & Potomac Ave,31010,1.4022E+12,38.8426,-77.0502,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,5,6,1.40219E+12,6/7/2014 21:27,11,0.454545455,0.545454545
12,12,23rd & Crystal Dr,31011,1.4022E+12,38.8533,-77.0498,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,6,11,1.40219E+12,6/7/2014 21:32,17,0.352941176,0.647058824
13,13,26th & S Clark St,31012,1.4022E+12,38.850688,-77.05152,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,7,4,1.40219E+12,6/7/2014 20:14,11,0.636363636,0.363636364
14,14,19th St & Pennsylvania Ave NW,31100,1.4022E+12,38.9003,-77.0429,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,5,9,1.40219E+12,6/7/2014 22:18,14,0.357142857,0.642857143
15,15,14th & V St NW,31101,1.4022E+12,38.9176,-77.0321,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,6,19,1.4022E+12,6/7/2014 23:24,25,0.24,0.76
16,16,11th & Kenyon St NW,31102,1.4022E+12,38.929464,-77.027822,TRUE,FALSE,1.28654E+12,,FALSE,TRUE,11,16,1.4022E+12,6/7/2014 23:20,27,0.407407407,0.592592593
17,17,16th & Harvard St NW,31103,1.4022E+12,38.926088,-77.036536,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,2,31,1.4022E+12,6/7/2014 23:24,33,0.060606061,0.939393939
18,18,Adams Mill & Columbia Rd NW,31104,1.4022E+12,38.922925,-77.042581,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,2,13,1.4022E+12,6/7/2014 23:09,15,0.133333333,0.866666667
19,19,14th & Harvard St NW,31105,1.4022E+12,38.9268,-77.0322,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,1,18,1.4022E+12,6/7/2014 23:08,19,0.052631579,0.947368421
20,20,Calvert & Biltmore St NW,31106,1.4022E+12,38.923203,-77.047637,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,4,19,1.4022E+12,6/7/2014 22:56,23,0.173913043,0.826086957
21,21,Lamont & Mt Pleasant NW,31107,1.4022E+12,38.9319,-77.0388,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,2,16,1.4022E+12,6/7/2014 23:22,18,0.111111111,0.888888889
22,22,4th & M St SW,31108,1.4022E+12,38.8767,-77.0178,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,9,12,1.4022E+12,6/7/2014 23:12,21,0.428571429,0.571428571
23,23,15th & P St NW,31201,1.4022E+12,38.90985,-77.034438,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,1,16,1.4022E+12,6/7/2014 23:13,17,0.058823529,0.941176471
24,24,14th & R St NW,31202,1.4022E+12,38.912682,-77.031681,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,11,4,1.4022E+12,6/7/2014 23:25,15,0.733333333,0.266666667
25,25,14th & Rhode Island Ave NW,31203,1.4022E+12,38.9086,-77.0323,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,6,16,1.4022E+12,6/7/2014 23:25,22,0.272727273,0.727272727
26,26,20th & E St NW,31204,1.4022E+12,38.8963,-77.045,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,14,0,1.4022E+12,6/7/2014 22:57,14,1,0
27,27,21st & I St NW,31205,1.4022E+12,38.9008,-77.047,TRUE,FALSE,1.28386E+12,,FALSE,TRUE,18,17,1.4022E+12,6/7/2014 22:50,35,0.514285714,0.485714286
28,28,Georgia & New Hampshire Ave NW,31400,1.4022E+12,38.936043,-77.024649,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,4,9,1.4022E+12,6/7/2014 22:59,13,0.307692308,0.692307692
29,29,14th St & Spring Rd NW,31401,1.4022E+12,38.9375,-77.0328,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,6,5,1.4022E+12,6/7/2014 23:13,11,0.545454545,0.454545455
30,30,John McCormack Dr & Michigan Ave NE,31502,1.4022E+12,38.9346,-76.9955,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,5,6,1.40219E+12,6/7/2014 21:25,11,0.454545455,0.545454545
31,31,5th & K St NW,31600,1.4022E+12,38.90304,-77.019027,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,17,2,1.4022E+12,6/7/2014 23:15,19,0.894736842,0.105263158
32,32,19th & East Capitol St SE,31601,1.4022E+12,38.8896,-76.9769,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,11,4,1.40219E+12,6/7/2014 20:37,15,0.733333333,0.266666667
33,33,Park Rd & Holmead Pl NW,31602,1.4022E+12,38.9308,-77.0315,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,13,3,1.4022E+12,6/7/2014 23:15,16,0.8125,0.1875
34,34,Good Hope & Naylor Rd SE,31700,1.4022E+12,38.8601,-76.9672,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,2,9,1.40219E+12,6/7/2014 22:25,11,0.181818182,0.818181818
35,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,1.4022E+12,38.934267,-77.057979,TRUE,FALSE,1.28924E+12,,FALSE,TRUE,2,9,1.4022E+12,6/7/2014 23:14,11,0.181818182,0.818181818
36,36,Randle Circle & Minnesota Ave SE,31702,1.4022E+12,38.878,-76.9607,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,5,6,1.40203E+12,6/6/2014 1:18,11,0.454545455,0.545454545
37,37,Minnesota Ave Metro/DOES,31703,1.4022E+12,38.897063,-76.947446,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,4,7,1.4021E+12,6/6/2014 18:57,11,0.363636364,0.636363636
38,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,1.4022E+12,38.901385,-76.941877,TRUE,FALSE,1.38677E+12,1.30E+12,FALSE,TRUE,7,4,1.40218E+12,6/7/2014 18:46,11,0.636363636,0.363636364
39,39,Anacostia Metro,31801,1.4022E+12,38.862669,-76.994637,TRUE,FALSE,1.28447E+12,,FALSE,TRUE,9,2,1.40217E+12,6/7/2014 16:19,11,0.818181818,0.181818182
40,40,Good Hope Rd & MLK Ave SE,31802,1.4022E+12,38.867373,-76.988039,TRUE,FALSE,1.30529E+12,,FALSE,TRUE,2,9,1.40219E+12,6/7/2014 20:19,11,0.181818182,0.818181818
41,41,19th & E Street NW,31206,1.4022E+12,38.8952,-77.0436,TRUE,FALSE,1.28455E+12,,FALSE,TRUE,2,9,1.4022E+12,6/7/2014 22:53,11,0.181818182,0.818181818
42,42,4th St & Rhode Island Ave NE,31500,1.4022E+12,38.919488,-77.000624,TRUE,FALSE,1.28997E+12,,FALSE,TRUE,6,5,1.4022E+12,6/7/2014 23:08,11,0.545454545,0.454545455
43,43,10th & U St NW,31111,1.4022E+12,38.9172,-77.0259,TRUE,FALSE,1.28582E+12,,FALSE,TRUE,9,5,1.4022E+12,6/7/2014 23:21,14,0.642857143,0.357142857
44,44,Georgia Ave and Fairmont St NW,31207,1.4022E+12,38.9249,-77.0222,TRUE,FALSE,1.28504E+12,,FALSE,TRUE,4,7,1.40219E+12,6/7/2014 20:33,11,0.363636364,0.636363636
45,45,1st & N St  SE,31209,1.4022E+12,38.8743,-77.0057,TRUE,FALSE,1.28504E+12,,FALSE,TRUE,14,25,1.40219E+12,6/7/2014 21:27,39,0.358974359,0.641025641
