,id,name,terminalName,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks,latestUpdateTime,date,total,percentBikes,percentDocks
1,1,20th & Bell St,31000,1.40216E+12,38.8561,-77.0512,TRUE,FALSE,1.31606E+12,NA,FALSE,TRUE,7,4,1.40215E+12,6/7/2014 9:17,11,0.636363636,0.363636364
2,2,18th & Eads St.,31001,1.40216E+12,38.85725,-77.05332,TRUE,FALSE,1.28499E+12,NA,FALSE,TRUE,3,7,1.40216E+12,6/7/2014 14:07,10,0.3,0.7
3,3,20th & Crystal Dr,31002,1.40216E+12,38.8564,-77.0492,TRUE,FALSE,1.28446E+12,NA,FALSE,TRUE,14,1,1.40216E+12,6/7/2014 14:00,15,0.933333333,0.066666667
4,4,15th & Crystal Dr,31003,1.40216E+12,38.86017,-77.049593,TRUE,FALSE,1.28446E+12,NA,FALSE,TRUE,2,9,1.40216E+12,6/7/2014 13:55,11,0.181818182,0.818181818
5,5,Aurora Hills Community Ctr/18th & Hayes St,31004,1.40216E+12,38.857866,-77.05949,TRUE,FALSE,1.28446E+12,NA,FALSE,TRUE,7,4,1.40216E+12,6/7/2014 12:39,11,0.636363636,0.363636364
6,6,12th & Hayes St /  Pentagon City Metro,31005,1.40216E+12,38.862303,-77.059936,TRUE,FALSE,1.28446E+12,NA,FALSE,TRUE,4,15,1.40216E+12,6/7/2014 13:44,19,0.210526316,0.789473684
7,7,S Joyce & Army Navy Dr,31006,1.40216E+12,38.8637,-77.0633,TRUE,FALSE,1.28446E+12,NA,FALSE,TRUE,9,2,1.40216E+12,6/7/2014 13:29,11,0.818181818,0.181818182
8,8,Crystal City Metro / 18th & Bell St,31007,1.40216E+12,38.8573,-77.0511,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,8,8,1.40216E+12,6/7/2014 13:26,16,0.5,0.5
9,9,12th & Army Navy Dr,31008,1.40216E+12,38.8629,-77.0528,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,6,5,1.40216E+12,6/7/2014 14:05,11,0.545454545,0.454545455
10,10,27th & Crystal Dr,31009,1.40216E+12,38.848441,-77.051516,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,8,11,1.40216E+12,6/7/2014 13:49,19,0.421052632,0.578947368
11,11,S Glebe & Potomac Ave,31010,1.40216E+12,38.8426,-77.0502,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,10,1,1.40216E+12,6/7/2014 13:53,11,0.909090909,0.090909091
12,12,23rd & Crystal Dr,31011,1.40216E+12,38.8533,-77.0498,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,5,12,1.40216E+12,6/7/2014 14:04,17,0.294117647,0.705882353
13,13,26th & S Clark St,31012,1.40216E+12,38.850688,-77.05152,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,6,5,1.40212E+12,6/7/2014 1:23,11,0.545454545,0.454545455
14,14,19th St & Pennsylvania Ave NW,31100,1.40216E+12,38.9003,-77.0429,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,1,13,1.40216E+12,6/7/2014 13:46,14,0.071428571,0.928571429
15,15,14th & V St NW,31101,1.40216E+12,38.9176,-77.0321,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,10,17,1.40216E+12,6/7/2014 14:04,27,0.37037037,0.62962963
16,16,11th & Kenyon St NW,31102,1.40216E+12,38.929464,-77.027822,TRUE,FALSE,1.28654E+12,NA,FALSE,TRUE,0,27,1.40216E+12,6/7/2014 13:42,27,0,1
17,17,16th & Harvard St NW,31103,1.40216E+12,38.926088,-77.036536,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,0,33,1.40216E+12,6/7/2014 14:04,33,0,1
18,18,Adams Mill & Columbia Rd NW,31104,1.40216E+12,38.922925,-77.042581,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,0,14,1.40216E+12,6/7/2014 14:06,14,0,1
19,19,14th & Harvard St NW,31105,1.40216E+12,38.9268,-77.0322,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,3,16,1.40216E+12,6/7/2014 14:05,19,0.157894737,0.842105263
20,20,Calvert & Biltmore St NW,31106,1.40216E+12,38.923203,-77.047637,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,0,23,1.40216E+12,6/7/2014 13:46,23,0,1
21,21,Lamont & Mt Pleasant NW,31107,1.40216E+12,38.9319,-77.0388,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,4,13,1.40216E+12,6/7/2014 13:57,17,0.235294118,0.764705882
22,22,4th & M St SW,31108,1.40216E+12,38.8767,-77.0178,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,7,15,1.40216E+12,6/7/2014 14:06,22,0.318181818,0.681818182
23,23,15th & P St NW,31201,1.40216E+12,38.90985,-77.034438,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,0,18,1.40216E+12,6/7/2014 14:05,18,0,1
24,24,14th & R St NW,31202,1.40216E+12,38.912682,-77.031681,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,13,2,1.40216E+12,6/7/2014 14:04,15,0.866666667,0.133333333
25,25,14th & Rhode Island Ave NW,31203,1.40216E+12,38.9086,-77.0323,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,12,9,1.40216E+12,6/7/2014 14:02,21,0.571428571,0.428571429
26,26,20th & E St NW,31204,1.40216E+12,38.8963,-77.045,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,1,14,1.40216E+12,6/7/2014 14:04,15,0.066666667,0.933333333
27,27,21st & I St NW,31205,1.40216E+12,38.9008,-77.047,TRUE,FALSE,1.28386E+12,NA,FALSE,TRUE,0,35,1.40216E+12,6/7/2014 14:02,35,0,1
28,28,Georgia & New Hampshire Ave NW,31400,1.40216E+12,38.936043,-77.024649,TRUE,FALSE,1.28447E+12,NA,FALSE,TRUE,3,10,1.40216E+12,6/7/2014 13:46,13,0.230769231,0.769230769
