"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1402240772557","38.8561","-77.0512","true","false","1316059200000","","false","true",21,24,"1402219614870",2014-06-08 05:26:54,45,0.466666666666667,0.533333333333333
"2","2","18th & Eads St.","31001","1402240846377","38.85725","-77.05332","true","false","1284989400000","","false","true",17,27,"1402238381434",2014-06-08 10:39:41,44,0.386363636363636,0.613636363636364
"3","3","20th & Crystal Dr","31002","1402240897573","38.8564","-77.0492","true","false","1284464580000","","false","true",8,1,"1402238241618",2014-06-08 10:37:21,9,0.888888888888889,0.111111111111111
"4","4","15th & Crystal Dr","31003","1402240976518","38.86017","-77.049593","true","false","1284464880000","","false","true",18,27,"1402239642050",2014-06-08 11:00:42,45,0.4,0.6
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1402240756546","38.857866","-77.05949","true","false","1284464880000","","false","true",23,13,"1402201767978",2014-06-08 00:29:27,36,0.638888888888889,0.361111111111111
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1402240883736","38.862303","-77.059936","true","false","1284464940000","","false","true",20,6,"1402237969059",2014-06-08 10:32:49,26,0.769230769230769,0.230769230769231
"7","7","S Joyce & Army Navy Dr","31006","1402240772560","38.8637","-77.0633","true","false","1284464940000","","false","true",22,21,"1402239806643",2014-06-08 11:03:26,43,0.511627906976744,0.488372093023256
"8","8","Crystal City Metro / 18th & Bell St","31007","1402240857052","38.8573","-77.0511","true","false","1284465000000","","false","true",17,6,"1402240373198",2014-06-08 11:12:53,23,0.739130434782609,0.260869565217391
"9","9","12th & Army Navy Dr","31008","1402240831147","38.8629","-77.0528","true","false","1284465000000","","false","true",13,29,"1402240529259",2014-06-08 11:15:29,42,0.30952380952381,0.69047619047619
"10","10","27th & Crystal Dr","31009","1402240830046","38.848441","-77.051516","true","false","1284465060000","","false","true",4,27,"1402239864680",2014-06-08 11:04:24,31,0.129032258064516,0.870967741935484
"11","11","S Glebe & Potomac Ave","31010","1402240987956","38.8426","-77.0502","true","false","1284465120000","","false","true",19,26,"1402240262370",2014-06-08 11:11:02,45,0.422222222222222,0.577777777777778
"12","12","23rd & Crystal Dr","31011","1402240778046","38.8533","-77.0498","true","false","1284465120000","","false","true",21,3,"1402240777051",2014-06-08 11:19:37,24,0.875,0.125
"13","13","26th & S Clark St","31012","1402240942049","38.850688","-77.05152","true","false","1284465300000","","false","true",21,24,"1402186446810",2014-06-07 20:14:06,45,0.466666666666667,0.533333333333333
"14","14","19th St & Pennsylvania Ave NW","31100","1402240964655","38.9003","-77.0429","true","false","1284465360000","","false","true",18,3,"1402240827483",2014-06-08 11:20:27,21,0.857142857142857,0.142857142857143
"15","15","14th & V St NW","31101","1402240988330","38.9176","-77.0321","true","false","1284465420000","","false","true",3,8,"1402240886958",2014-06-08 11:21:26,11,0.272727272727273,0.727272727272727
"16","16","11th & Kenyon St NW","31102","1402240779123","38.929464","-77.027822","true","false","1286539080000","","false","true",3,10,"1402240778133",2014-06-08 11:19:38,13,0.230769230769231,0.769230769230769
"17","17","16th & Harvard St NW","31103","1402240942142","38.926088","-77.036536","true","false","1284465480000","","false","true",11,8,"1402240940597",2014-06-08 11:22:20,19,0.578947368421053,0.421052631578947
"18","18","Adams Mill & Columbia Rd NW","31104","1402240891556","38.922925","-77.042581","true","false","1284465540000","","false","true",17,4,"1402240890286",2014-06-08 11:21:30,21,0.80952380952381,0.19047619047619
"19","19","14th & Harvard St NW","31105","1402240950726","38.9268","-77.0322","true","false","1284465540000","","false","true",17,8,"1402240708821",2014-06-08 11:18:28,25,0.68,0.32
"20","20","Calvert & Biltmore St NW","31106","1402240774520","38.923203","-77.047637","true","false","1284465600000","","false","true",18,12,"1402240531559",2014-06-08 11:15:31,30,0.6,0.4
"21","21","Lamont & Mt Pleasant NW","31107","1402240899734","38.9319","-77.0388","true","false","1284465600000","","false","true",1,11,"1402240416196",2014-06-08 11:13:36,12,0.0833333333333333,0.916666666666667
"22","22","4th & M St SW","31108","1402240987378","38.8767","-77.0178","true","false","1284465660000","","false","true",8,26,"1402240832607",2014-06-08 11:20:32,34,0.235294117647059,0.764705882352941
"23","23","15th & P St NW","31201","1402240842913","38.90985","-77.034438","true","false","1284465660000","","false","true",22,29,"1402240842289",2014-06-08 11:20:42,51,0.431372549019608,0.568627450980392
"24","24","14th & R St NW","31202","1402240940472","38.912682","-77.031681","true","false","1284465720000","","false","true",21,28,"1402240215909",2014-06-08 11:10:15,49,0.428571428571429,0.571428571428571
"25","25","14th & Rhode Island Ave NW","31203","1402240964197","38.9086","-77.0323","true","false","1284465780000","","false","true",4,3,"1402240480470",2014-06-08 11:14:40,7,0.571428571428571,0.428571428571429
"26","26","20th & E St NW","31204","1402240747766","38.8963","-77.045","true","false","1284465840000","","false","true",2,6,"1402240745817",2014-06-08 11:19:05,8,0.25,0.75
"27","27","21st & I St NW","31205","1402240934901","38.9008","-77.047","true","false","1283861040000","","false","true",23,19,"1402240450881",2014-06-08 11:14:10,42,0.547619047619048,0.452380952380952
"28","28","Georgia & New Hampshire Ave NW","31400","1402240818605","38.936043","-77.024649","true","false","1284465900000","","false","true",18,29,"1402240817396",2014-06-08 11:20:17,47,0.382978723404255,0.617021276595745
"29","29","14th St & Spring Rd NW","31401","1402240934173","38.9375","-77.0328","true","false","1284465960000","","false","true",19,26,"1402238520156",2014-06-08 10:42:00,45,0.422222222222222,0.577777777777778
"30","30","John McCormack Dr & Michigan Ave NE","31502","1402240829627","38.9346","-76.9955","true","false","1284465960000","","false","true",19,26,"1402219758762",2014-06-08 05:29:18,45,0.422222222222222,0.577777777777778
"31","31","5th & K St NW","31600","1402240747952","38.90304","-77.019027","true","false","1284466020000","","false","true",21,5,"1402240506064",2014-06-08 11:15:06,26,0.807692307692308,0.192307692307692
"32","32","19th & East Capitol St SE","31601","1402240935152","38.8896","-76.9769","true","false","1284466020000","","false","true",4,24,"1402240210519",2014-06-08 11:10:10,28,0.142857142857143,0.857142857142857
"33","33","Park Rd & Holmead Pl NW","31602","1402240904103","38.9308","-77.0315","true","false","1284466080000","","false","true",21,5,"1402240903168",2014-06-08 11:21:43,26,0.807692307692308,0.192307692307692
"34","34","Good Hope & Naylor Rd SE","31700","1402240792594","38.8601","-76.9672","true","false","1284466140000","","false","true",13,29,"1402194306066",2014-06-07 22:25:06,42,0.30952380952381,0.69047619047619
"35","35","Connecticut Ave & Newark St NW / Cleveland Park","31305","1402240771007","38.934267","-77.057979","true","false","1289241840000","","false","true",23,13,"1402240528798",2014-06-08 11:15:28,36,0.638888888888889,0.361111111111111
"36","36","Randle Circle & Minnesota Ave SE","31702","1402240843981","38.878","-76.9607","true","false","1284466200000","","false","true",19,26,"1402205126717",2014-06-08 01:25:26,45,0.422222222222222,0.577777777777778
"37","37","Minnesota Ave Metro/DOES","31703","1402240780069","38.897063","-76.947446","true","false","1284466200000","","false","true",13,29,"1402212640183",2014-06-08 03:30:40,42,0.30952380952381,0.69047619047619
"38","38","Nannie Helen Burroughs & Minnesota Ave NE","31704","1402240851209","38.901385","-76.941877","true","false","1386766320000","1298396940000","false","true",21,24,"1402205126863",2014-06-08 01:25:26,45,0.466666666666667,0.533333333333333
"39","39","Anacostia Metro","31801","1402240889307","38.862669","-76.994637","true","false","1284466260000","","false","true",19,26,"1402227725017",2014-06-08 07:42:05,45,0.422222222222222,0.577777777777778
"40","40","Good Hope Rd & MLK Ave SE","31802","1402240916490","38.867373","-76.988039","true","false","1305288720000","","false","true",13,29,"1402219754663",2014-06-08 05:29:14,42,0.30952380952381,0.69047619047619
"41","41","19th & E Street NW","31206","1402240966625","38.8952","-77.0436","true","false","1284545040000","","false","true",1,4,"1402238228269",2014-06-08 10:37:08,5,0.2,0.8
