"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1402259108971","38.8561","-77.0512","true","false","1316059200000","","false","true",26,13,"1402258984729",2014-06-08 16:23:04,39,0.666666666666667,0.333333333333333
"2","2","18th & Eads St.","31001","1402259215271","38.85725","-77.05332","true","false","1284989400000","","false","true",19,27,"1402257074445",2014-06-08 15:51:14,46,0.41304347826087,0.58695652173913
"3","3","20th & Crystal Dr","31002","1402259032321","38.8564","-77.0492","true","false","1284464580000","","false","true",26,26,"1402257824433",2014-06-08 16:03:44,52,0.5,0.5
"4","4","15th & Crystal Dr","31003","1402259194092","38.86017","-77.049593","true","false","1284464880000","","false","true",21,27,"1402258110061",2014-06-08 16:08:30,48,0.4375,0.5625
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1402259087099","38.857866","-77.05949","true","false","1284464880000","","false","true",21,27,"1402259086392",2014-06-08 16:24:46,48,0.4375,0.5625
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1402259067430","38.862303","-77.059936","true","false","1284464940000","","false","true",22,7,"1402259066912",2014-06-08 16:24:26,29,0.758620689655172,0.241379310344828
"7","7","S Joyce & Army Navy Dr","31006","1402259029076","38.8637","-77.0633","true","false","1284464940000","","false","true",13,29,"1402258786132",2014-06-08 16:19:46,42,0.30952380952381,0.69047619047619
"8","8","Crystal City Metro / 18th & Bell St","31007","1402259056851","38.8573","-77.0511","true","false","1284465000000","","false","true",25,28,"1402257551223",2014-06-08 15:59:11,53,0.471698113207547,0.528301886792453
"9","9","12th & Army Navy Dr","31008","1402259191784","38.8629","-77.0528","true","false","1284465000000","","false","true",22,26,"1402256476206",2014-06-08 15:41:16,48,0.458333333333333,0.541666666666667
"10","10","27th & Crystal Dr","31009","1402259186897","38.848441","-77.051516","true","false","1284465060000","","false","true",25,3,"1402258702923",2014-06-08 16:18:22,28,0.892857142857143,0.107142857142857
"11","11","S Glebe & Potomac Ave","31010","1402259142988","38.8426","-77.0502","true","false","1284465120000","","false","true",4,1,"1402258901113",2014-06-08 16:21:41,5,0.8,0.2
"12","12","23rd & Crystal Dr","31011","1402259011650","38.8533","-77.0498","true","false","1284465120000","","false","true",3,27,"1402258286529",2014-06-08 16:11:26,30,0.1,0.9
"13","13","26th & S Clark St","31012","1402259111215","38.850688","-77.05152","true","false","1284465300000","","false","true",25,20,"1402252196863",2014-06-08 14:29:56,45,0.555555555555556,0.444444444444444
"14","14","19th St & Pennsylvania Ave NW","31100","1402259142214","38.9003","-77.0429","true","false","1284465360000","","false","true",1,7,"1402256028356",2014-06-08 15:33:48,8,0.125,0.875
"15","15","14th & V St NW","31101","1402259180156","38.9176","-77.0321","true","false","1284465420000","","false","true",1,18,"1402259178441",2014-06-08 16:26:18,19,0.0526315789473684,0.947368421052632
"16","16","11th & Kenyon St NW","31102","1402259044887","38.929464","-77.027822","true","false","1286539080000","","false","true",2,19,"1402258801894",2014-06-08 16:20:01,21,0.0952380952380952,0.904761904761905
"17","17","16th & Harvard St NW","31103","1402259162827","38.926088","-77.036536","true","false","1284465480000","","false","true",2,21,"1402258087464",2014-06-08 16:08:07,23,0.0869565217391304,0.91304347826087
"18","18","Adams Mill & Columbia Rd NW","31104","1402259067531","38.922925","-77.042581","true","false","1284465540000","","false","true",1,7,"1402259032951",2014-06-08 16:23:52,8,0.125,0.875
"19","19","14th & Harvard St NW","31105","1402259234764","38.9268","-77.0322","true","false","1284465540000","","false","true",2,11,"1402259233146",2014-06-08 16:27:13,13,0.153846153846154,0.846153846153846
"20","20","Calvert & Biltmore St NW","31106","1402259078610","38.923203","-77.047637","true","false","1284465600000","","false","true",21,12,"1402258594956",2014-06-08 16:16:34,33,0.636363636363636,0.363636363636364
"21","21","Lamont & Mt Pleasant NW","31107","1402259213448","38.9319","-77.0388","true","false","1284465600000","","false","true",2,11,"1402258487539",2014-06-08 16:14:47,13,0.153846153846154,0.846153846153846
"22","22","4th & M St SW","31108","1402259235629","38.8767","-77.0178","true","false","1284465660000","","false","true",9,25,"1402259008469",2014-06-08 16:23:28,34,0.264705882352941,0.735294117647059
"23","23","15th & P St NW","31201","1402259242025","38.90985","-77.034438","true","false","1284465660000","","false","true",19,7,"1402259240177",2014-06-08 16:27:20,26,0.730769230769231,0.269230769230769
"24","24","14th & R St NW","31202","1402259207465","38.912682","-77.031681","true","false","1284465720000","","false","true",25,27,"1402258723706",2014-06-08 16:18:43,52,0.480769230769231,0.519230769230769
"25","25","14th & Rhode Island Ave NW","31203","1402259169172","38.9086","-77.0323","true","false","1284465780000","","false","true",25,6,"1402259167719",2014-06-08 16:26:07,31,0.806451612903226,0.193548387096774
"26","26","20th & E St NW","31204","1402259134764","38.8963","-77.045","true","false","1284465840000","","false","true",6,2,"1402258892661",2014-06-08 16:21:32,8,0.75,0.25
"27","27","21st & I St NW","31205","1402259014927","38.9008","-77.047","true","false","1283861040000","","false","true",2,22,"1402258530614",2014-06-08 16:15:30,24,0.0833333333333333,0.916666666666667
"28","28","Georgia & New Hampshire Ave NW","31400","1402259158982","38.936043","-77.024649","true","false","1284465900000","","false","true",1,6,"1402258916801",2014-06-08 16:21:56,7,0.142857142857143,0.857142857142857
"29","29","14th St & Spring Rd NW","31401","1402259046794","38.9375","-77.0328","true","false","1284465960000","","false","true",2,3,"1402258803710",2014-06-08 16:20:03,5,0.4,0.6
"30","30","John McCormack Dr & Michigan Ave NE","31502","1402259091403","38.9346","-76.9955","true","false","1284465960000","","false","true",23,25,"1402258366473",2014-06-08 16:12:46,48,0.479166666666667,0.520833333333333
"31","31","5th & K St NW","31600","1402259207199","38.90304","-77.019027","true","false","1284466020000","","false","true",23,6,"1402259206471",2014-06-08 16:26:46,29,0.793103448275862,0.206896551724138
"32","32","19th & East Capitol St SE","31601","1402259122097","38.8896","-76.9769","true","false","1284466020000","","false","true",19,5,"1402257123168",2014-06-08 15:52:03,24,0.791666666666667,0.208333333333333
"33","33","Park Rd & Holmead Pl NW","31602","1402259182019","38.9308","-77.0315","true","false","1284466080000","","false","true",1,12,"1402257458814",2014-06-08 15:57:38,13,0.0769230769230769,0.923076923076923
"34","34","Good Hope & Naylor Rd SE","31700","1402259097812","38.8601","-76.9672","true","false","1284466140000","","false","true",2,3,"1402249737736",2014-06-08 13:48:57,5,0.4,0.6
"35","35","Connecticut Ave & Newark St NW / Cleveland Park","31305","1402259112741","38.934267","-77.057979","true","false","1289241840000","","false","true",22,26,"1402259111186",2014-06-08 16:25:11,48,0.458333333333333,0.541666666666667
"36","36","Randle Circle & Minnesota Ave SE","31702","1402259186099","38.878","-76.9607","true","false","1284466200000","","false","true",22,26,"1402205126717",2014-06-08 01:25:26,48,0.458333333333333,0.541666666666667
"37","37","Minnesota Ave Metro/DOES","31703","1402259121191","38.897063","-76.947446","true","false","1284466200000","","false","true",2,3,"1402248962261",2014-06-08 13:36:02,5,0.4,0.6
"38","38","Nannie Helen Burroughs & Minnesota Ave NE","31704","1402259192951","38.901385","-76.941877","true","false","1386766320000","1298396940000","false","true",24,24,"1402205126863",2014-06-08 01:25:26,48,0.5,0.5
"39","39","Anacostia Metro","31801","1402259170759","38.862669","-76.994637","true","false","1284466260000","","false","true",23,25,"1402250193824",2014-06-08 13:56:33,48,0.479166666666667,0.520833333333333
"40","40","Good Hope Rd & MLK Ave SE","31802","1402259130762","38.867373","-76.988039","true","false","1305288720000","","false","true",19,28,"1402247412988",2014-06-08 13:10:12,47,0.404255319148936,0.595744680851064
"41","41","19th & E Street NW","31206","1402259065050","38.8952","-77.0436","true","false","1284545040000","","false","true",2,3,"1402257481110",2014-06-08 15:58:01,5,0.4,0.6
"42","42","4th St & Rhode Island Ave NE","31500","1402259021056","38.919488","-77.000624","true","false","1289970000000","","false","true",23,25,"1402254416184",2014-06-08 15:06:56,48,0.479166666666667,0.520833333333333
"43","43","10th & U St NW","31111","1402259241176","38.9172","-77.0259","true","false","1285822380000","","false","true",23,28,"1402259239148",2014-06-08 16:27:19,51,0.450980392156863,0.549019607843137
"44","44","Georgia Ave and Fairmont St NW","31207","1402259181339","38.9249","-77.0222","true","false","1285041600000","","false","true",24,24,"1402259180791",2014-06-08 16:26:20,48,0.5,0.5
"45","45","1st & N St  SE","31209","1402259046408","38.8743","-77.0057","true","false","1285041600000","","false","true",22,23,"1402258563245",2014-06-08 16:16:03,45,0.488888888888889,0.511111111111111
"46","46","20th St & Florida Ave NW","31110","1402259124279","38.9154","-77.0446","true","false","1285217520000","","false","true",4,24,"1402259123031",2014-06-08 16:25:23,28,0.142857142857143,0.857142857142857
"47","47","7th & T St NW","31109","1402259009429","38.9155","-77.0222","true","false","1285735680000","","false","true",3,24,"1402257800928",2014-06-08 16:03:20,27,0.111111111111111,0.888888888888889
"48","48","23rd & Eads St","31013","1402259239299","38.853613","-77.053535","true","false","1287562620000","","false","true",19,28,"1402257547886",2014-06-08 15:59:07,47,0.404255319148936,0.595744680851064
"49","49","M St & New Jersey Ave SE","31208","1402259036928","38.8763","-77.0037","true","false","1285041600000","","false","true",2,9,"1402259035028",2014-06-08 16:23:55,11,0.181818181818182,0.818181818181818
"50","51","Massachusetts Ave & Dupont Circle NW","31200","1402259166818","38.9101","-77.0444","true","false","1284523200000","","false","true",5,22,"1402259166624",2014-06-08 16:26:06,27,0.185185185185185,0.814814814814815
"51","52","1st & M St NE","31603","1402259213818","38.9057","-77.0056","true","false","1287115200000","","false","true",19,4,"1402258971966",2014-06-08 16:22:51,23,0.826086956521739,0.173913043478261
"52","53","21st & M St NW","31212","1402259037715","38.90534","-77.046774","true","false","1285041600000","","false","true",24,5,"1402258554699",2014-06-08 16:15:54,29,0.827586206896552,0.172413793103448
"53","54","17th & K St NW","31213","1402259105368","38.90276","-77.03863","true","false","1306236960000","","false","true",25,4,"1402259104182",2014-06-08 16:25:04,29,0.862068965517241,0.137931034482759
"54","55","3rd & H St NW","31604","1402259083935","38.899408","-77.015289","true","false","1287028800000","","false","true",22,3,"1402258117794",2014-06-08 16:08:37,25,0.88,0.12
"55","56","3rd & D St SE","31605","1402259057485","38.8851","-77.0023","true","false","1287201600000","","false","true",2,3,"1402258815351",2014-06-08 16:20:15,5,0.4,0.6
"56","57","Potomac & Pennsylvania Ave SE","31606","1402259241067","38.8803","-76.9862","true","false","1287460800000","","false","true",19,3,"1402259239975",2014-06-08 16:27:19,22,0.863636363636364,0.136363636363636
"57","58","14th & D St SE","31607","1402259190845","38.884","-76.9861","true","false","1287374400000","","false","true",23,28,"1402259190576",2014-06-08 16:26:30,51,0.450980392156863,0.549019607843137
"58","59","17th & Corcoran St NW","31214","1402259088321","38.9121","-77.0387","true","false","1294078980000","","false","true",19,9,"1402259087240",2014-06-08 16:24:47,28,0.678571428571429,0.321428571428571
"59","60","Van Ness Metro / UDC","31300","1402259158340","38.944551","-77.063896","true","false","1289624400000","","false","true",21,4,"1402257466708",2014-06-08 15:57:46,25,0.84,0.16
"60","61","Florida Ave & R St NW","31503","1402259180999","38.9126","-77.0135","true","false","1290056400000","","false","true",1,7,"1402256644582",2014-06-08 15:44:04,8,0.125,0.875
"61","62","8th & Eye St SE / Barracks Row","31608","1402259095791","38.8792","-76.9953","true","false","1287374400000","","false","true",19,28,"1402258129206",2014-06-08 16:08:49,47,0.404255319148936,0.595744680851064
"62","63","Ward Circle / American University","31301","1402259075232","38.938736","-77.087171","true","false","1289538000000","","false","true",21,4,"1402256760289",2014-06-08 15:46:00,25,0.84,0.16
"63","64","Idaho Ave & Newark St NW [on 2nd District patio]","31302","1402259105859","38.934751","-77.074647","true","false","1289970000000","","false","true",25,27,"1402259104911",2014-06-08 16:25:04,52,0.480769230769231,0.519230769230769
"64","65","14th St Heights / 14th & Crittenden St NW","31402","1402259043142","38.947774","-77.032818","true","false","1289970000000","","false","true",13,29,"1402253582559",2014-06-08 14:53:02,42,0.30952380952381,0.69047619047619
"65","66","Anacostia Library","31804","1402259216388","38.865784","-76.9784","true","false","1288584000000","","false","true",23,25,"1402249552311",2014-06-08 13:45:52,48,0.479166666666667,0.520833333333333
"66","67","Pennsylvania & Minnesota Ave SE","31805","1402259115877","38.873057","-76.971015","true","false","1288584000000","","false","true",26,13,"1402205204540",2014-06-08 01:26:44,39,0.666666666666667,0.333333333333333
"67","68","Eastern Market / 7th & North Carolina Ave SE","31610","1402259140236","38.886952","-76.996806","true","false","1282363200000","","false","true",22,3,"1402258897018",2014-06-08 16:21:37,25,0.88,0.12
"68","69","McPherson Square / 14th & H St NW","31216","1402259143630","38.899641","-77.032005","true","false","1284436800000","","false","true",13,10,"1402258592997",2014-06-08 16:16:32,23,0.565217391304348,0.434782608695652
"69","70","Benning Branch Library","31705","1402259059661","38.894","-76.947974","true","false","1288584000000","","false","true",23,25,"1402254000285",2014-06-08 15:00:00,48,0.479166666666667,0.520833333333333
"70","71","USDA / 12th & Independence Ave SW","31217","1402259226110","38.887237","-77.028226","true","false","1286297580000","","false","true",7,18,"1402259224760",2014-06-08 16:27:04,25,0.28,0.72
"71","72","Georgetown Harbor / 30th St NW","31215","1402259204054","38.9022212","-77.059219","true","false","1286300580000","","false","true",10,1,"1402259203321",2014-06-08 16:26:43,11,0.909090909090909,0.0909090909090909
"72","73","12th & Newton St NE","31501","1402259144205","38.933668","-76.991016","true","false","1286306220000","","false","true",24,24,"1402257936507",2014-06-08 16:05:36,48,0.5,0.5
"73","74","US Dept of State / Virginia Ave & 21st St NW","31220","1402259198784","38.894919","-77.046587","true","false","1286661900000","","false","true",3,25,"1402258312303",2014-06-08 16:11:52,28,0.107142857142857,0.892857142857143
"74","75","L'Enfant Plaza / 7th & C St SW","31218","1402259166927","38.886266","-77.022241","true","false","1286410980000","","false","true",7,2,"1402258441067",2014-06-08 16:14:01,9,0.777777777777778,0.222222222222222
"75","76","10th St & Constitution Ave NW","31219","1402259120116","38.893028","-77.026013","true","false","1286497620000","","false","true",16,27,"1402258775647",2014-06-08 16:19:35,43,0.372093023255814,0.627906976744186
"76","77","Kennedy Center","31211","1402259017801","38.895184","-77.054845","true","false","1286325060000","","false","true",19,26,"1402256852729",2014-06-08 15:47:32,45,0.422222222222222,0.577777777777778
"77","78","Eastern Market Metro / Pennsylvania Ave & 7th St SE","31613","1402259093063","38.884","-76.995397","true","false","1286411820000","","false","true",2,9,"1402259092473",2014-06-08 16:24:52,11,0.181818181818182,0.818181818181818
"78","79","18th & M St NW","31221","1402259057834","38.904742","-77.041606","true","false","1286458140000","","false","true",21,7,"1402258815347",2014-06-08 16:20:15,28,0.75,0.25
"79","80","Tenleytown / Wisconsin Ave & Albemarle St NW","31303","1402259064219","38.947607","-77.079382","true","false","1287150300000","","false","true",23,29,"1402259063410",2014-06-08 16:24:23,52,0.442307692307692,0.557692307692308
