"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1402300851188","38.8561","-77.0512","true","false","1316059200000","","false","true",21,25,"1402266043506",2014-06-08 18:20:43,46,0.456521739130435,0.543478260869565
"2","2","18th & Eads St.","31001","1402300690474","38.85725","-77.05332","true","false","1284989400000","","false","true",20,25,"1402282795200",2014-06-08 22:59:55,45,0.444444444444444,0.555555555555556
"3","3","20th & Crystal Dr","31002","1402300684424","38.8564","-77.0492","true","false","1284464580000","","false","true",24,26,"1402291771534",2014-06-09 01:29:31,50,0.48,0.52
"4","4","15th & Crystal Dr","31003","1402300821448","38.86017","-77.049593","true","false","1284464880000","","false","true",19,27,"1402271810731",2014-06-08 19:56:50,46,0.41304347826087,0.58695652173913
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1402300835034","38.857866","-77.05949","true","false","1284464880000","","false","true",20,26,"1402291874356",2014-06-09 01:31:14,46,0.434782608695652,0.565217391304348
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1402300733333","38.862303","-77.059936","true","false","1284464940000","","false","true",6,26,"1402291874249",2014-06-09 01:31:14,32,0.1875,0.8125
"7","7","S Joyce & Army Navy Dr","31006","1402300860580","38.8637","-77.0633","true","false","1284464940000","","false","true",19,27,"1402291698790",2014-06-09 01:28:18,46,0.41304347826087,0.58695652173913
"8","8","Crystal City Metro / 18th & Bell St","31007","1402300812291","38.8573","-77.0511","true","false","1284465000000","","false","true",20,4,"1402291874732",2014-06-09 01:31:14,24,0.833333333333333,0.166666666666667
"9","9","12th & Army Navy Dr","31008","1402300665608","38.8629","-77.0528","true","false","1284465000000","","false","true",22,24,"1402270402192",2014-06-08 19:33:22,46,0.478260869565217,0.521739130434783
"10","10","27th & Crystal Dr","31009","1402300656423","38.848441","-77.051516","true","false","1284465060000","","false","true",20,5,"1402282222597",2014-06-08 22:50:22,25,0.8,0.2
"11","11","S Glebe & Potomac Ave","31010","1402300792793","38.8426","-77.0502","true","false","1284465120000","","false","true",18,28,"1402291700128",2014-06-09 01:28:20,46,0.391304347826087,0.608695652173913
"12","12","23rd & Crystal Dr","31011","1402300691991","38.8533","-77.0498","true","false","1284465120000","","false","true",3,27,"1402291871660",2014-06-09 01:31:11,30,0.1,0.9
"13","13","26th & S Clark St","31012","1402300845793","38.850688","-77.05152","true","false","1284465300000","","false","true",21,25,"1402291872430",2014-06-09 01:31:12,46,0.456521739130435,0.543478260869565
"14","14","19th St & Pennsylvania Ave NW","31100","1402300692958","38.9003","-77.0429","true","false","1284465360000","","false","true",1,6,"1402292869344",2014-06-09 01:47:49,7,0.142857142857143,0.857142857142857
"15","15","14th & V St NW","31101","1402300646504","38.9176","-77.0321","true","false","1284465420000","","false","true",9,28,"1402295700033",2014-06-09 02:35:00,37,0.243243243243243,0.756756756756757
"16","16","11th & Kenyon St NW","31102","1402300709048","38.929464","-77.027822","true","false","1286539080000","","false","true",23,11,"1402280755355",2014-06-08 22:25:55,34,0.676470588235294,0.323529411764706
"17","17","16th & Harvard St NW","31103","1402300650931","38.926088","-77.036536","true","false","1284465480000","","false","true",15,2,"1402299201289",2014-06-09 03:33:21,17,0.882352941176471,0.117647058823529
"18","18","Adams Mill & Columbia Rd NW","31104","1402300829866","38.922925","-77.042581","true","false","1284465540000","","false","true",2,4,"1402291873102",2014-06-09 01:31:13,6,0.333333333333333,0.666666666666667
"19","19","14th & Harvard St NW","31105","1402300835230","38.9268","-77.0322","true","false","1284465540000","","false","true",21,5,"1402284056827",2014-06-08 23:20:56,26,0.807692307692308,0.192307692307692
"20","20","Calvert & Biltmore St NW","31106","1402300696392","38.923203","-77.047637","true","false","1284465600000","","false","true",3,5,"1402291923177",2014-06-09 01:32:03,8,0.375,0.625
"21","21","Lamont & Mt Pleasant NW","31107","1402300714416","38.9319","-77.0388","true","false","1284465600000","","false","true",24,2,"1402289899639",2014-06-09 00:58:19,26,0.923076923076923,0.0769230769230769
"22","22","4th & M St SW","31108","1402300858234","38.8767","-77.0178","true","false","1284465660000","","false","true",9,24,"1402291771528",2014-06-09 01:29:31,33,0.272727272727273,0.727272727272727
"23","23","15th & P St NW","31201","1402300856755","38.90985","-77.034438","true","false","1284465660000","","false","true",9,1,"1402300855775",2014-06-09 04:00:55,10,0.9,0.1
"24","24","14th & R St NW","31202","1402300824975","38.912682","-77.031681","true","false","1284465720000","","false","true",23,27,"1402294267308",2014-06-09 02:11:07,50,0.46,0.54
"25","25","14th & Rhode Island Ave NW","31203","1402300796080","38.9086","-77.0323","true","false","1284465780000","","false","true",10,24,"1402300312268",2014-06-09 03:51:52,34,0.294117647058824,0.705882352941177
"26","26","20th & E St NW","31204","1402300749168","38.8963","-77.045","true","false","1284465840000","","false","true",19,2,"1402291923276",2014-06-09 01:32:03,21,0.904761904761905,0.0952380952380952
"27","27","21st & I St NW","31205","1402300788933","38.9008","-77.047","true","false","1283861040000","","false","true",2,22,"1402286352055",2014-06-08 23:59:12,24,0.0833333333333333,0.916666666666667
"28","28","Georgia & New Hampshire Ave NW","31400","1402300675920","38.936043","-77.024649","true","false","1284465900000","","false","true",22,26,"1402291700240",2014-06-09 01:28:20,48,0.458333333333333,0.541666666666667
"29","29","14th St & Spring Rd NW","31401","1402300707123","38.9375","-77.0328","true","false","1284465960000","","false","true",23,20,"1402296371639",2014-06-09 02:46:11,43,0.534883720930233,0.465116279069767
"30","30","John McCormack Dr & Michigan Ave NE","31502","1402300631188","38.9346","-76.9955","true","false","1284465960000","","false","true",20,26,"1402291699781",2014-06-09 01:28:19,46,0.434782608695652,0.565217391304348
